OrderID,CustomerID,ProductID,OrderDate,Quantity,Discount,Sales,Profit
1,60,3,2022-12-19,3,0.07,4190.5,535.87
2,138,55,2022-01-08,1,0.16,1377.94,313.62
3,18,18,2022-07-25,4,0.01,4887.23,1161.61
4,31,6,2022-10-25,5,0.26,142.04,37.89
5,77,53,2022-10-21,5,0.2,1221.48,128.14
6,130,20,2024-07-13,4,0.17,4599.1,361.48
7,163,11,2023-11-09,1,0.27,491.82,104.84
8,163,45,2023-06-14,3,0.2,4604.83,435.28
9,30,53,2023-10-31,1,0.25,229.03,43.86
10,150,22,2024-06-24,2,0.16,795.3,229.61
11,182,11,2022-03-24,4,0.28,1940.34,267.96
12,115,11,2024-02-16,1,0.17,559.2,83.17
13,70,97,2024-02-08,1,0.09,1245.44,352.61
14,188,13,2023-03-26,2,0.02,2301.78,199.69
15,155,47,2023-06-16,5,0.28,4028.22,492.62
16,74,17,2022-06-15,4,0.07,5948.73,421.91
17,174,49,2022-08-03,4,0.21,2952.36,680.69
18,22,71,2024-07-07,3,0.07,3955.41,386.64
19,127,88,2023-03-19,1,0.07,1079.44,222.87
20,66,86,2024-01-21,1,0.01,1056.69,268.31
21,131,96,2023-08-29,4,0.23,534.5,76.71
22,63,88,2023-05-10,4,0.19,3760.64,485.57
23,115,74,2022-03-13,4,0.28,3858.74,599.02
24,190,78,2022-01-15,3,0.26,1834.36,237.82
25,159,44,2024-07-03,5,0.12,5369.94,876.12
26,32,54,2023-01-09,5,0.13,8569.02,1228.17
27,134,1,2024-09-09,1,0.3,76.86,12.82
28,81,77,2023-04-11,2,0.06,2616.4,327.32
29,32,87,2024-02-14,5,0.3,3268.96,610.43
30,11,49,2022-11-06,3,0.26,2074.12,172.95
31,194,25,2023-06-28,3,0.18,1259.91,194.06
32,189,13,2022-03-22,1,0.24,892.53,262.83
33,75,97,2024-11-10,4,0.24,4160.6,754.72
34,129,35,2024-12-19,2,0.08,1966.32,305.98
35,69,61,2024-02-11,3,0.17,1885.58,272.6
36,65,23,2022-07-10,4,0.12,5210.23,1123.56
37,171,27,2024-04-18,2,0.17,887.35,191.19
38,163,78,2022-05-24,4,0.27,2412.77,488.14
39,191,35,2024-06-03,1,0.28,769.43,98.45
40,175,91,2022-05-05,2,0.07,840.14,207.73
41,14,25,2023-03-04,1,0.17,425.09,35.12
42,176,65,2022-07-28,3,0.06,917.04,46.24
43,34,68,2023-08-06,5,0.09,5073.16,485.18
44,71,4,2022-12-24,3,0.28,3816.24,940.77
45,177,23,2024-11-07,1,0.2,1184.14,299.81
46,48,86,2024-03-21,2,0.02,2092.03,305.9
47,146,73,2022-05-26,4,0.23,3632.95,481.74
48,64,54,2022-11-01,5,0.17,8175.04,789.4
49,167,59,2023-12-19,2,0.12,2336.33,578.85
